label,text
0,ภูมิแพ้ชนิดนี้จะมีอาการที่เกิดกับจมูก บริเวณโพรงจมูก และอวัยวะที่เกี่ยวข้องกับระบบทางเดินหายใจเป็นหลัก หลังผู้ป่วยหายใจเอาสารก่อภูมิแพ้เข้าสู่ร่างกาย ระบบภูมิคุ้มกันจะขับสารเพื่อทำปฏิกิริยากับสารก่อภูมิแพ้ ซึ่งทำให้เกิดอาการแพ้ คือ จามบ่อย คันและมีการอักเสบบวมทั่วใบหน้า รอบดวงตา จมูก ปาก และลำคอ คัดจมูก น้ำมูกไหล มีเสมหะ หายใจไม่ออก หอบหืด ไอ เจ็บคอ หูอื้อ ตาแดง ประสาทรับกลิ่นทำงานได้แย่ลง และอาจมีไข้ร่วมด้วย
0,มีอาการตั้งแต่น้ำมูกไหล จาม คันจมูก คัดจมูก (คนทั่วไปเรียกว่าโรคแพ้อากาศ) หรืออาจมีอาการรุนแรง เช่น ไอ แน่นหน้าอก มีอาการหอบ ซึ่งเป็นอาการของโรคหืด
0,อาการจามบ่อยๆ น้ำมูกใส คัดจมูก อาจเป็นช่วงใดช่วงหนึ่งของวัน หรือช่วงที่ไปรับสารที่แพ้ อาการร่วมอาจมีอาการคันตา คันคอ และเพดานปาก เสมหะลงคอ อาการที่เป็นโรคภูมิแพ้ทางจมูกที่พบบ่อยคือ ไอเรื้อรัง ปวดศีรษะบ่อยๆ กระแอม นอนกรน หายใจมีกลิ่นปาก
0,"มีน้ำมูกไหล ในลักษณะที่ใส , คันจมูก , จาม หรือคนไข้บางท่านอาจจะมีอาการไอเรื้อรัง ไอกระแอมตลอดเวลา เพราะมีเสมหะไหลหรือซึมลงคอ  บางรายอาจมีอาการปวดศีรษะเรื้อรัง , นอนกรน , ถอนหายใจบ่อย , มีอาการปากแห้ง , คันหัวตา แต่ไม่ถึงกับมีอารการตาแดง"
0,อาการคัดจมูก จาม มีน้ำมูกใสๆ คันจมูก ถ้าเป็นโรคหืดเมื่อหายใจเอาสารก่อภูมิแพ้เข้าไปถึงหลอดลมก็จะทำให้เกิดการอักเสบของหลอดลม แล้วหลอดลมก็จะตอบสนองด้วยการหดเกร็งเกิดอาการของหลอดลมตีบขึ้น โดยหายใจมีเสียงเหมือนนกหวีด ดังวี๊ดขึ้น อาจใช้เวลาก่อนเกิดอาการเป็นนาทีหรือเป็นชั่วโมงก็ได้
0,จะมีอาการคัดจมูก น้ำมูกไหล แต่มีน้ำมูกสีใส จามบ่อย คันในจมูก และมีเสมหะไหลลงคอ โดยไม่มีไข้ร่วมด้วย บางครั้งอาจมีอาการคันตา และมักจะมีอาการเรื้อรัง เป็นๆ หายๆ อาการของโรคจะเป็นหนักและบ่อยขึ้นเมื่อเข้าสู่ฤดูหนาว ช่วงเวลาที่มักจะทำให้เกิดโรคได้ง่ายคือช่วงเช้าและกลางคืน ซึ่งจะเป็นอยู่ประมาณ 2 – 3 ชม. แล้วอาการก็จะดีขึ้น นอกจากนั้นยังต้องระวังโรคแทรกซ้อน อย่างโรคไซนัสและนอนกรนด้วย
0,มีอาการคัดจมูก มีน้ำมูกไหล (น้ำมูกใส) คัดจมูก และมีเสมหะ อาจมีอาการระคายเคืองที่ตาหรือเป็นไข้ร่วมด้วย ในบางรายรุนแรงถึงขั้นทำให้หลอดลมอักเสบ มีอาการแน่นหน้าอก หายใจไม่ออก เวียนศีรษะ ถึงขั้นหมดสติ และเสียชีวิตได้
0,อาการคัดจมูก น้ำมูกไหล (ลักษณะน้ำมูกใส) คันจมูก จาม บางคนอาจมีอาการคันที่ตาและมีน้ำตามากร่วมด้วย แต่สามารถแยกจากโรคไข้หวัดธรรมดาได้จากระยะเวลาของการเกิดอาการ โดยโรคภูมิแพ้มักจะมีระยะเวลาในการเกิดที่นาน และจะไม่หายหากผู้ป่วยยังคงได้รับสิ่งกระตุ้นให้เกิดอาการอยู่ ในทางกลับกันไข้หวัดธรรมดาและไข้หวัดใหญ่นั้นสามารถหายได้ในเวลาไม่นาน โดยทั่วไปมักไม่เกิน 2 สัปดาห์ เมื่อได้รับการดูแลหรือรักษาที่ถูกต้องและไม่มีอาการแทรกซ้อนอื่นใด
0,จมูกอักเสบเนื่องจากการแพ้หรือโรคแพ้อากาศ โดยผู้ป่วยจะมีอาการ คัดจมูก จาม คันจมูก น้ำมูกไหล น้ำมูกไหลลงคอ  อาการดังกล่าวอาจเกิดตามฤดูกาลในช่วงที่มีเกสรดอกไม้มาก ๆ ซึ่งพบได้น้อย หรืออาจมีอาการตลอดทั้งปีก็ได้ เยื่อบุตาอักเสบเนื่องจากการแพ้ โดยจะมีอาการคันรอบ ๆ ตา หนังตาด้านในแดง น้ำตาไหล หนังตาบวม ผื่นแพ้พันธุกรรม มีอาการคือ ผิวหนังบริเวณข้อศอก หัวเข่าและข้อพับต่าง ๆ มีลักษณะแดง แห้งและคัน มักพบมากในเด็กเล็ก ผื่นลมพิษ ผิวหนังมีลักษณะคัน บวม นูนหนา อาการแพ้เฉียบพลัน มีอาการหน้าแดง เยื่อบุจมูกบวม คัด เกิดการบวมของเนื้อเยื่ออ่อนใต้ผิวหนัง มีผื่นลมพิษ คลื่นไส้อาเจียน หายใจมีเสียงวี๊ด ถ้าเป็นมากอาจมีความดันตก เป็นอันตรายถึงชีวิต
0,คันจมูก จาม น้ำมูกไหล แน่นจมูก หรือคัดจมูก หายใจลําบากหรือหายใจไม่อิ่ม อาจมีอาการคันตา เคืองตา น้ําตาไหล คันคอ เพดานปาก หรือคันหู หูอื้อบ่อยๆก็ได้
